class,time_flag,demand_cnt_his,supply_cnt_his
3.0,23,10.0,10.816667
3.0,24,8.708333,9.35
3.0,25,12.708333,13.6125
3.0,26,12.625,13.429167000000001
3.0,27,13.916667000000002,14.895832999999998
3.0,28,13.833332999999998,14.895832999999998
3.0,29,13.125,14.070832999999999
3.0,30,12.625,13.6125
3.0,31,11.5,12.283333
3.0,32,10.333333,11.183333
3.0,33,11.75,12.65
3.0,34,13.583332999999998,14.529167000000001
3.0,35,12.083333,12.970833
3.0,36,12.916667,13.8875
3.0,37,10.375,11.0
3.0,38,8.291667,8.891667
3.0,39,7.75,8.020833
3.0,40,7.6666669999999995,8.158333
3.0,41,6.375,6.783333
3.0,42,6.3333330000000005,6.7375
3.0,43,6.2916669999999995,5.625
3.0,44,5.2916669999999995,5.2708330000000005
3.0,45,4.2083330000000005,3.583333
3.0,46,3.5,3.041667
3.0,47,2.875,2.208333
4.0,0,15.875,13.0
4.0,1,11.791667,10.0
4.0,2,10.5,9.25
4.0,3,7.0416669999999995,5.4166669999999995
4.0,4,4.625,3.291667
4.0,5,3.916667,2.666667
4.0,6,3.125,2.25
4.0,7,4.3333330000000005,2.208333
4.0,8,3.583333,2.25
4.0,9,3.666667,2.541667
4.0,10,3.958333,2.625
4.0,11,5.0,3.958333
4.0,12,5.25,4.625
4.0,13,6.7916669999999995,7.195833
4.0,14,17.875,18.608333
4.0,15,48.041667,51.7
4.0,16,80.958333,83.920833
4.0,17,90.25,90.979167
4.0,18,91.333333,92.491667
4.0,19,70.916667,74.3875
4.0,20,56.333332999999996,60.17916700000001
4.0,21,49.083333,53.2125
4.0,22,44.666667,48.2625
4.0,23,47.75,51.608333
4.0,24,49.625,53.670832999999995
4.0,25,55.666667000000004,59.95
4.0,26,66.5,71.775
4.0,27,68.833333,74.616667
4.0,28,66.666667,72.141667
4.0,29,65.625,71.729167
4.0,30,60.791667000000004,65.175
4.0,31,54.666667000000004,59.308333
4.0,32,58.5,63.158333
4.0,33,62.166667000000004,67.5125
4.0,34,81.5,88.045833
4.0,35,85.208333,92.033333
4.0,36,96.291667,103.858333
4.0,37,70.583333,76.0375
4.0,38,55.166667000000004,59.720833
4.0,39,49.583333,52.6625
4.0,40,43.875,46.841667
4.0,41,40.541667,42.258333
4.0,42,42.125,44.504166999999995
4.0,43,36.916667,38.820833
4.0,44,33.416667,34.695833
4.0,45,27.958333000000003,28.966666999999998
4.0,46,24.166667,21.666667
4.0,47,19.5,19.3875
5.0,0,2.166667,1.5
5.0,1,1.25,0.666667
5.0,2,0.833333,0.25
5.0,3,1.833333,0.625
5.0,4,0.75,0.25
5.0,5,0.5,0.125
5.0,6,1.083333,0.166667
5.0,7,0.625,0.083333
5.0,8,0.291667,0.041667
5.0,9,0.333333,0.125
5.0,10,0.291667,0.166667
5.0,11,0.583333,0.291667
5.0,12,0.75,0.541667
5.0,13,1.708333,1.7416669999999999
5.0,14,3.833333,4.125
5.0,15,6.0833330000000005,6.1875
5.0,16,9.416667,10.220833
5.0,17,10.208333,10.8625
5.0,18,9.458333,10.129167
